p,Pflow,dMin,Smax,Save
0.01,0,0,1.9129,1.4561333333333337
0.02,0,0,2.377,1.6855333333333369
0.03,0,0,2.8878,1.9358600000000006
0.04,0,0,3.3362,2.155164999999999
0.05,0,0,3.7591,2.355480000000004
0.06,0,0,4.175,2.5545783333333487
0.07,0,0,4.6035,2.7570750000000332
0.08,0,0,5.0428,2.9597133333333843
0.09,0,0,5.4833,3.1632157142857764
0.10,0,0,5.9554,3.3772787301587806
0.11,0,0,6.4095,3.5823631349206697
0.12,0,0,6.9385,3.8143737409812775
0.13,0,0,7.4651,4.047877817460338
0.14,0,0,8.0199,4.286356832611825
0.15,0,0,8.5774,4.52512360028857
0.16,0,0,9.2347,4.802020580807992
0.17,0,0,9.9512,5.089964033188904
0.18,0,0,10.5868,5.363954523809386
0.19,0,0,11.2967,5.655919320679231
0.20,0,0,12.1662,5.99345267871015
0.21,0,0,13.0039,6.324627632645147
0.22,0,0,13.9474,6.682046165215499
0.23,0,0,14.9741,7.073723884465124
